id,created_at,text
874373283919089664,2017-06-12 21:10:10,"b'Finally held our first full @Cabinet meeting today. With this great team, we can restore American prosperity and br\xe2\x80\xa6 https://t.co/b0roksHTFE'"
874325287143604224,2017-06-12 17:59:27,"b""Congratulations! \n\n'First New Coal Mine of Trump Era Opens in Pennsylvania' https://t.co/aIRllxNLQA"""
874309930232184833,2017-06-12 16:58:25,b'We will NEVER FORGET the victims who lost their lives one year ago today in the horrific #PulseNightClub shooting.\xe2\x80\xa6 https://t.co/7lZGgDJkxZ'
874218586155479040,2017-06-12 10:55:27,b'Ivanka on @foxandfriends now!'
874087477807599616,2017-06-12 02:14:29,"b'Great numbers on the economy. All of our work, including the passage of many bills &amp; regulation killing Executive Orders, now kicking in!'"
874086142425083904,2017-06-12 02:09:10,"b""RT @foxandfriends: .@GeraldoRivera: Chances of impeachment went from 3% to 0% with Comey's testimony https://t.co/kfeXKdpJGe"""
874085723762286592,2017-06-12 02:07:30,"b'RT @foxandfriends: ""Yesterday\'s hearings provided zero evidence of collusion between our campaign and the Russians because there wasn\'t any\xe2\x80\xa6'"
874084433460154368,2017-06-12 02:02:23,"b'My daughter, Ivanka, will be on @foxandfriends tomorrow morning. Enjoy!'"
873884774041079808,2017-06-11 12:49:00,"b'The Democrats have no message,  not on economics, not on taxes,  not on jobs, not on failing #Obamacare. They are only OBSTRUCTIONISTS!'"
873879934040780801,2017-06-11 12:29:46,"b""I believe the James Comey leaks will be far more prevalent than anyone ever thought possible. Totally illegal? Very 'cowardly!'"""
873878232264822784,2017-06-11 12:23:01,"b'...way up. Regulations way down. 600,000+ new jobs added. Unemployment down to 4.3%. Business and economic enthusiasm way up- record levels!'"
873878061778907137,2017-06-11 12:22:20,"b""The #FakeNews MSM doesn't report the great economic news since Election Day. #DOW up 16%. #NASDAQ up 19.5%. Drilling &amp; energy sector..."""
873643935993708544,2017-06-10 20:52:00,b'America is going to build again. Under budget and ahead of schedule. Time to put #AmericaFirst! #InfrastructureWeek\xe2\x80\xa6 https://t.co/D5TbbjXcN3'
873353586025132038,2017-06-10 01:38:15,"b'Time to start building in our country, with American workers &amp; with American iron, aluminum &amp; steel. It is time to\xe2\x80\xa6 https://t.co/rGZCRyeCMZ'"
873311842956914688,2017-06-09 22:52:23,"b'It is time to rebuild OUR country, to bring back OUR jobs, to restore OUR dreams, &amp; yes, to put #AmericaFirst! TY O\xe2\x80\xa6 https://t.co/2b2bXwxGkA'"
873250570508922880,2017-06-09 18:48:54,b'A great honor to host and welcome leaders from around America to the @WhiteHouse Infrastructure Summit.\xe2\x80\xa6 https://t.co/5f6cN3HboQ'
873245481488535554,2017-06-09 18:28:41,"b""An honor to join the @FaithandFreedom Coalition yesterday. In America, we don't worship government. We worship God.\xe2\x80\xa6 https://t.co/1ds8BrzUQe"""
873183401620230144,2017-06-09 14:22:00,b'Congratulations to Jeb Hensarling &amp; Republicans on successful House vote to repeal major parts of the 2010 Dodd-Frank financial law. GROWTH!'
873180518493429765,2017-06-09 14:10:33,b'RT @AlanDersh: We should stop talking about obstruction of justice. No plausible case. We must distinguish crimes from pol sins https://t.c\xe2\x80\xa6'
873131235614347264,2017-06-09 10:54:43,b'Great reporting by @foxandfriends and so many others. Thank you!'
873120139222306817,2017-06-09 10:10:37,"b'Despite so many false statements and lies, total and complete vindication...and WOW, Comey is a leaker!'"
872427222392504320,2017-06-07 12:17:13,"b'Getting ready to leave for Cincinnati, in the GREAT STATE of OHIO, to meet with ObamaCare victims and talk Healthcare &amp; also Infrastructure!'"
872419018799550464,2017-06-07 11:44:37,"b'I will be nominating Christopher A. Wray, a man of impeccable credentials, to be the new Director of the FBI. Details to follow.'"
872258719404482561,2017-06-07 01:07:39,b'Senate passed the VA Accountability Act. The House should get this bill to my desk ASAP! We can\xe2\x80\x99t tolerate substandard care for our vets.'
872253002266161153,2017-06-07 00:44:56,b'#ICYMI: Announcement of Air Traffic Control Initiative \n\nWatch\xe2\x9e\xa1\xef\xb8\x8fhttps://t.co/IMiZr22gAw'
