id,created_at,text
875262418892472320,2017-06-15 08:03:16,"b'All the music, all the fun, all the witnessing x2! Paris &amp; Amsterdam, tix for new shows available now \xf0\x9f\x87\xab\xf0\x9f\x87\xb7\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xb3\xf0\x9f\x87\xb1\xe2\x80\xa6 https://t.co/bsRTRuYH7F'"
875236612518629376,2017-06-15 06:20:44,"b""Took the fam to see #wonderwoman after dad's 70th birthday dinner. LOVE what this film stands\xe2\x80\xa6 https://t.co/Sg3BVORzTJ"""
875220749056786433,2017-06-15 05:17:42,b'#KPWWW HQ will now be open from 12p-8p tomorrow through Friday! Come by for exclusive merch &amp; fun surprises! -TeamKP https://t.co/fcTEs3qMd9'
875157336343552000,2017-06-15 01:05:43,b'RT @andynishan: Thank you @katyperry for being vulnerable and letting us #WITNESS you. \xe2\x9d\xa4\xef\xb8\x8f #KPWWW  #intomeyousee  https://t.co/YsO4oSmUPm ht\xe2\x80\xa6'
875152133221343233,2017-06-15 00:45:02,b'RT @viva_la_eva_: @katyperry I tried to draw Nugget in your autograph book thing #KPWWW https://t.co/g09ZH6wnoy'
875150907230502912,2017-06-15 00:40:10,b'RT @michaelantny: Still waiting for a cut ms. @katyperry! #kpwww #witness https://t.co/DmXosgj8SB'
875150571459575808,2017-06-15 00:38:50,"b""RT @melisfoulks: Just spent all my moneys at the @katyperry #KPWWW HQ pop up shop &amp; I ain't sorry. Anything for my girl! #WITNESS \xf0\x9f\x92\x95 https:/\xe2\x80\xa6"""
875146661726531584,2017-06-15 00:23:18,b'RT @evrenperry: I was about to save this as a draft but hit tweet instead \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f OBSESSED with the merch! #KPWWW @katyperry https://t.co/ewW\xe2\x80\xa6'
875146330489761792,2017-06-15 00:21:59,b'RT @idkISAAC: No wonder @katyperry slept so well!! #kpwww #Witness https://t.co/IfHLzazzrP'
875145860014776320,2017-06-15 00:20:07,b'RT @Favian_Flores: #KPWWW #POPUP https://t.co/CretqYSsWz'
875137748134281216,2017-06-14 23:47:53,b'If you had to pick one which would you rather:'
875129086338662400,2017-06-14 23:13:27,b'RT @soniaaperry: @katyperry the merch is looking LIT \xf0\x9f\x98\x8d #KPWWW https://t.co/39Z8yuqePt'
875123600713408512,2017-06-14 22:51:40,b'RT @Jes00sica: @katyperry #KPWWW since @carlythekatycat and @RegannEliz are out of town and @ShannonFlynn2 is in NY- this ones for you girl\xe2\x80\xa6'
875119508813262848,2017-06-14 22:35:24,b'RT @JordynRTorres: #KPWWW Polaroid project is growin @katyperry \xf0\x9f\x92\x97 https://t.co/zrLaR08s1P'
875119305297350656,2017-06-14 22:34:35,b'RT @Krystan_Brooks: Nothing but net here at @katyperry pop up store. Great merch to WITNESS!! Come play with us #swishswish  #kpwww https:/\xe2\x80\xa6'
875110775093735424,2017-06-14 22:00:42,"b'Want to #WITNESS more? The @Target edition comes w/ two bonus tracks: ""Dance With The Devil"" &amp; ""Act My Age""\xe2\x80\xa6 https://t.co/n1tfHNI7HA'"
875105342778032128,2017-06-14 21:39:07,"b""RT @Dana2112: So can I say @katyperry's #Witness HQ at @kimsingtheatre was.... eye opening....? \xf0\x9f\x91\x81#punintended #KPWWW"""
875093760652312577,2017-06-14 20:53:05,"b""RT @paulboy: @katyperry I'm obsessed with my new tsunami shirt from your #kpwww pop up shop! and the plastic bag it came in ;) https://t.co\xe2\x80\xa6"""
875093714930192385,2017-06-14 20:52:54,b'RT @Jes00sica: @katyperry #KPWWW https://t.co/mR7J1uxgFk'
875092910106177536,2017-06-14 20:49:42,"b""RT @paulboy: The steam just ended and we already can't wait for the tour! #kpwww https://t.co/v6m8F5Mf7c"""
875091670374789121,2017-06-14 20:44:47,b'RT @OjaiJen: No wonder @katyperry was able to sleep with cameras on her..this is the most comfy bed evr!Come #Witness it yourself @ #KPWWW\xe2\x80\xa6'
875082629728673794,2017-06-14 20:08:51,b'RT @alice27713: I WANT EVERYTHINGGG!!!!!!!!!!!!!\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1 @katyperry  #KPWWW https://t.co/RPb1SZ2UiA'
875081638627217408,2017-06-14 20:04:55,b'RT @katyskittenz: I want the sad notebook! @katyperry #kpwww https://t.co/BQeSb4wLB0'
875081369566666752,2017-06-14 20:03:51,b'RT @TrueBasicJeremy: Had a blast today at the KATY HQ met the queen her self !!!! Strutting in that track suit \xf0\x9f\x99\x8c\xf0\x9f\x92\x95 make sure to stop by ! #K\xe2\x80\xa6'
875081066146439168,2017-06-14 20:02:39,"b""RT @ArtDeco94: @katyperry #KPWWW I almost stepped in Nugget's poop \xf0\x9f\x92\x80\xf0\x9f\x92\x80 https://t.co/2OpDpX9HWo"""
875078709023322112,2017-06-14 19:53:17,"b""RT @viva_la_eva_: @katyperry WE'RE HERE #KPWWW \xf0\x9f\x91\x81 https://t.co/e6kCbCnDWA"""
875078672016953346,2017-06-14 19:53:08,b'RT @ashleyegreer: So excited to hang this on my gallery wall in my house \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x92\xaf #KPWWW @katyperry https://t.co/gqecuHQqHS'
875064967355142144,2017-06-14 18:58:40,b'RT @rafaelaouchi: #KPWWW is very cool and smells good! https://t.co/P02BZjv97U'
875064796302921728,2017-06-14 18:58:00,b'RT @amy_wolff: You guys the nugget cup tho #KPWWW #WITNESS https://t.co/uiVgJRA5fh'
875064645559607296,2017-06-14 18:57:24,b'RT @amy_wolff: #KPWWW #WITNESS https://t.co/ijrHCP4Ers'
875064464596324352,2017-06-14 18:56:40,"b""RT @TrueBasicJeremy: I'm here and first in line #KPWWW https://t.co/uoI4AIA3jX"""
875057152297230336,2017-06-14 18:27:37,b'ICYMI on #KPWWW -TeamKP https://t.co/48ph5Jyw9P'
